iter	Passed	Remaining
0	84	83949
1	131	65674
2	162	54022
3	214	53408
4	252	50164
5	296	49099
6	332	47167
7	377	46849
8	413	45548
9	459	45443
10	499	44904111	560	46186
12	601	45630
13	640	45101
14	681	44745
15	716	44034
16	757	43802117	805	43964
18	852	44004
19	893	43770
20	934	43546
21	979	43561
22	1029	43726
23	1064	43281224	1114	43455
25	1158	43384
26	1206	43464
27	1251	43442
28	1290	43226
29	1342	43399
30	1393	43554
31	1451	43910
32	1492	43742
33	1529	43469
34	1575	43440
35	1616	43282
36	1656	43121
37	1705	43165
38	1742	42949
39	1782	42775
40	1828	42771
41	1873	42733
42	1912	42568
43	1954	42467
44	1994	42336
45	2037	42246
46	2076	42094
47	2117	41995
48	2165	42028
49	2210	41999
50	2250	41872
51	2292	41802
52	2330	41648
53	2370	41530
54	2408	41390
55	2443	41193
56	2487	41155
57	2538	41233
58	2572	41028
59	2614	40962
60	2659	40932
61	2703	40904
62	2742	40791
63	2793	40859
64	2835	40785
65	2872	40649
66	2920	40675
67	2971	40724
68	3013	40661
69	3057	40623
70	3097	40531
71	3148	40586
72	3182	40407
73	3215	40240
74	3255	40150
75	3292	40034
76	3330	39919
77	3371	39853
78	3399	39629
79	3425	39391
80	3465	39322
81	3501	39197
82	3541	39123
83	3575	38990
84	3626	39043
85	3671	39018
86	3703	38867
87	3749	38854
88	3786	38762
89	3822	38646
90	3862	38578
91	3946	38948
92	3967	38698
93	4008	38630
94	4039	38481
95	4076	38383
96	4107	38242
97	4139	38099
98	4179	38041
99	4222	38000
100	4259	37915
101	4297	37838
102	4342	37817
103	4388	37812
104	4429	37755
105	4453	37560
106	4489	37468
107	4533	37446
108	4561	372881109	4629	37457
110	4669	37394
111	4701	37279
112	4739	37201
113	4766	370471114	4798	369241115	4830	368081116	4874	367851117	4916	367481118	4965	367611119	5006	367131120	5047	366691121	5091	366401122	5139	366411123	5176	365661124	5215	365071125	5262	36501
126	5296	36408
127	5332	36330
128	5373	36278
129	5408	361961130	5439	360831131	5473	359951132	5517	359681133	5560	359371134	5599	358801135	5647	358751136	5685	358131137	5732	35805
138	5772	35757
139	5813	35711
140	5852	35654
141	5889	355851142	5936	355761143	5981	35556
144	6014	35466
145	6051	35398
146	6089	35334
147	6128	35282
148	6169	352381149	6210	351941150	6251	35148
151	6294	35117
152	6334	35068
153	6373	35010
154	6411	34952
155	6442	34855
156	6483	34810
157	6525	34774
158	6565	34725
159	6606	34681
160	6639	34601
161	6683	34574
162	6722	34519
163	6765	34485
164	6799	34407
165	6841	34371
166	6883	34335
167	6929	34317
168	6972	34284
169	7011	34233
170	7045	341551171	7085	341101172	7127	340711173	7160	339901174	7202	339551175	7235	338751176	7280	338511177	7314	337771178	7356	337411179	7401	337171180	7440	336661181	7478	336101182	7509	33525183	7607	33737
184	7649	33697
185	7704	33718
186	7744	33668
187	7791	33652
188	7831	33606
189	7869	33548
190	7910	33505
191	7954	33474
192	7996	33435
193	8035	33383
194	8082	33365
195	8120	33309
196	8158	33257
197	8195	33196
198	8230	33128
199	8268	33075
200	8303	33009
201	8337	32937
202	8372	32870
203	8405	32797
204	8449	32769
205	8480	32687
206	8517	32629
207	8556	32581
208	8588	32504
209	8617	324172210	8649	323432211	8695	323192212	8729	322552213	8769	322102214	8799	321292215	8846	32108
216	8879	320402217	8920	319992218	8957	319452219	8984	318542220	9028	318252221	9062	317602222	9101	317112223	9138	3165922224	9130	314422225	9172	314122226	9218	313922227	9262	313622228	9307	313322229	9340	312722230	9381	312322231	9419	311822232	9455	311222233	9491	310722234	9526	310122235	9566	309722236	9601	309122237	9644	308722238	9684	308322239	9730	308122240	9769	307622241	9805	3071242	9874	30760
2243	9935	307822244	9973	30733245	9995	30637
246	10036	30598
247	10079	30562
248	10124	30535
249	10161	30484
2250	10162	303252251	10205	302932252	10249	302622253	10293	302322254	10332	301872255	10399	30224
256	10460	30241
257	10494	30181
258	10524	30111
259	10569	30081
260	10605	30027
261	10643	29981
262	10678	29924
2263	10770	30027264	10756	29834
265	10789	29771
266	10825	29720
267	10864	29674
268	10908	29644
2269	11000	29742270	10985	29550
271	11031	29525
2272	11122	29620273	11109	29435
274	11152	29401
275	11189	29353
276	11231	29314
277	11271	29274
278	11336	29296
279	11379	29262
280	11415	29208
281	11456	29169
282	11498	29133
283	11537	29086
284	11572	29032
285	11612	28991
286	11655	28957
287	11694	28910
288	11738	28878
289	11781	28845
290	11825	28812
291	11864	28767
292	11907	28731
293	11948	28692
294	11986	28645
295	12032	28617
296	12078	28590
297	12118	28546
298	12162	28515
299	12206	28482
300	12254	28457
301	12290	28406
302	12339	28385
303	12382	28348
304	12425	28313
305	12481	28307
306	12542	28313
307	12584	28274
308	12631	28248
309	12676	28216
310	12727	28197
311	12777	28174
312	12814	28125
313	12859	28094
314	12892	28035
315	12933	27994
316	12968	27941
317	13008	27899
318	13049	27857
319	13089	27814
320	13125	27764
321	13163	27717
322	13198	27662
323	13238	27621
324	13275	27573
325	13309	27517
326	13351	27478
327	13387	27427
328	13423	27377
329	13464	27336
330	13500	27287
331	13532	27228
332	13571	27183
333	13607	27133
334	13645	27086
335	13677	27028
336	13713	26979
337	13744	26919
338	13779	26868
339	13825	26837
340	13869	26803
341	13894	26732
342	13932	266343343	13990	26679
344	14043	26661
345	14080	26614
346	14122	26575
347	14162	26534
348	14201	26490
349	14237	26440
350	14271	26387
351	14307	26338
352	14352	26305
353	14388	26256
354	14424	26208
355	14459	26156
356	14488	26095
357	14533	26063
358	14573	26020
359	14617	25985
360	14656	25943
361	14695	25900
362	14736	25860
363	14770	25807
364	14809	25765
365	14842	25710
366	14881	25667
367	14923	25630
368	14970	25599
369	15018	25572
370	15061	25535
371	15101	25493
372	15152	25470
373	15196	25436
374	15242	25404
375	15284	25366
376	15326	25326
377	15373	25297
378	15422	25270
379	15461	25226
380	15512	25203
381	15558	25170
382	15600	25132
383	15650	25105
384	15697	25075
385	15747	25048
386	15792	25015
387	15832	24973
388	15940	25037
389	15923	24906
390	15966	24868
391	16007	24827
392	16044	24780
393	16153	24844
394	16190	24797
395	16232	24758
396	16283	24733
397	16245	24572
398	16286	24531
3399	16380	24570400	16426	24537
4401	16458	244844402	16500	244444403	16534	243944404	16568	243444405	16605	24294406	16651	2426144407	16687	242144408	16722	24164409	16769	241314410	16820	2410544411	16847	24044412	16898	2401744413	16934	23974414	16980	239364415	17027	239034416	17065	238594417	17112	238264418	17156	237894419	17190	237384420	17235	2370344421	17264	236444422	17300	235942423	17335	23544424	17319	234314425	17359	23391426	17445	23409
4427	17442	233114428	17489	23279429	17567	23286
430	17612	23251
431	17651	23208
432	17698	23175
433	17741	23137
434	17776	23089
435	17815	23045
436	17855	23004
437	17894	22960
438	17932	22915
439	17978	22881
440	18016	22836
441	18055	22794
442	18102	22760
443	18142	22719
444	18181	22675
445	18231	22646
446	18277	22611
447	18318	22570
448	18355	22525
449	18394	22482
450	18429	22433
451	18469	22392
4452	18472	223054453	18517	222704454	18561	222324455	18605	221954456	18641	221504457	18745	22183458	18759	22111
459	18802	22072
460	18842	22030
461	18882	21988
462	18922	21946
463	18955	21897
464	18998	21858
465	19041	21819
466	19087	21785
467	19127	21743
468	19169	21703
469	19209	21661
470	19259	21631
471	19299	21589
472	19342	21550
473	19398	21527
4474	19418	21462475	19550	21521
476	19591	21480
477	19620	21426
478	19659	21383
479	19703	21345
480	19741	21301
481	19779	21256
4482	19850	212474483	19891	212064484	19874	211034485	19915	210624486	19956	210224487	19996	209794488	20040	20942489	20123	20945
4490	20115	208524491	20157	208134492	20199	207724493	20238	207304494	20280	20689495	20353	20681
496	20391	20638
497	20438	20602
498	20476	20558
4499	20536	20536500	20545	20463
5501	20613	204495502	20647	204015503	20688	203605504	20727	20317505	20740	20248
5506	20801	20226507	20816	20161
5508	20882	20143509	20890	20071
510	20936	20035
511	20981	19997
512	21024	19958
5513	21092	199435514	21133	199025515	21175	198625516	21210	198155517	21248	197715518	21292	197335519	21332	196915520	21373	196505521	21415	196105522	21453	195665523	21495	195265524	21528	194785525	21568	194365526	21606	193925527	21638	193435528	21674	192975529	21705	192485530	21741	192025531	21772	191535532	21814	191135533	21849	190675534	21884	190215535	21930	189845536	21962	189355537	22001	188935538	22040	188505539	22081	188105540	22123	187695541	22159	187255542	22192	186775543	22226	186305544	22270	185925545	22307	185495546	22350	18509547	22349	18434
5548	22413	184125549	22451	183695550	22480	183195551	22509	182555552	22569	182555553	22608	182554554	22646	181555	22617	18061
556	22667	18028
557	22693	17975
558	22725	17928
559	22770	17891
560	22809	17849
561	22848	17806
562	22879	17759
563	22907	17708
564	22951	17670
565565	23053	176566566	23089	176567567	23128	17590
568	23160	17543
569	23197	17500
570	23231	17453
571	23271	17413
572	23301	17364
573	23335	17318
574	23369	17272
575	23403	17227
576	23433	17178
577	23461	17129
578	23488	17078
579	23522	170580580	23555	169581581	23585	169582582	23615	168583	23590	16804
584	23625	16759
585	23661	16716
586	23697	16672
587	23737	16632
588	23773	16589
589	23810	16546
59590	23873	165259591	23916	164859592	23963	164459593	24011	164159594	24054	163759595	24114	16345
596	24154	16305
597	24206	16272
598	24267	16245
599	24310	16207
600	24364	16175
601	24407	16136
602	24449	16096
603	24485	16053
604	24524	16012
605	24556	159660606	24589	159260607	24641	158860608	24702	158560609	24734	158161610	24775	157761611	24823	157361612	24870	157061613	24919	15666
6614	24991	156456615	25036	156066616	25072	155616617	25110	155618618	25140	154619619	25180	154620620	25223	153621621	25257	153622622	25297	153623623	25333	152624624	25374	152625625	25410	151626626	25442	151627627	25482	150628628	25520	150629629	25554	150630630	25591	149631	25580	14894
632	25626	14857
633	25660	14813
634	25700	14772
635	25751	14738
636	25787	14695
637	25829	14655
638	25873	14617
639	25908	14573
640	25942	14529
641	25984	14489
642	26030	14452
643	26073	14413
644	26112	14372
645	26156	14333
646	26204	14296
647	26247	14257
648	26283	14214
649	26329	14177
650	26369	14136
651	26409	14096
652	26449	14055
653	26491	14015
654	26527	13972
655655	26623	139656656	26667	139657657	26711	138658658	26749	138659659	26790	138660	26780	13734
661	26821	13694
662662	26916	136663	26904	13614
664	26946	13574
665	26982	13531
666	27019	13489
667667	27117	134668668	27156	134669669	27197	133670	27181	13327
671671	27278	133672	27259	13244
673	27297	13203
674	27341	13164
675	27378	13122
676	27414	13079
677	27452	13037
678	27497	12999
679	27541	12960
680	27582	12920
681	27624	12880
682	27670	12842
683	27708	12801
684	27747	12759
685	27786	12718
686	27814	12672
687	27841	12625
688	27875	12582
689	27898	12534
690	27937	12492
691	27962	12445
692	27998	12403
693	28029	12359
694	28063	12315
695	28092	12270
696696	28220	12268
697	28276	12234
698	28310	12190
699	28340	12146
700	28382	12106
701	28409	12060
702	28453	12020
703	28488	119704704	28524	119705705	28551	118706706	28593	118707707	28630	118708708	28666	117709709	28698	117710710	28739	116711	28717	11615
712	28757	11575
713	28799	11535
714	28830	11491
715	28859	11446
716	28879	11398
717	28901	11351
718718	28995	113719719	29042	11294
720	29072	11249
721	29110	11208
722	29151	11168
723	29191	11128
724	29228	11086
725	29270	11047
726	29302	11003
727	29326	10957
728	29349	10910
729	29384	10868
730	29426	10828
731	29449	10782
732	29469	10734
733	29492	10687
734	29520	10643
735	29548	10598
736	29576	10554
737	29603	10509
738	29633	10465
739	29662	10421
740	29693	10378
741	29726	10336
742	29765	10295
743	29794	10251
744	29822	10207
745	29847	101746746	29836	101747747	29932	10084
748	29976	10045
749	30019	100067750	30096	9978
751	30131	9936
752	30174	98977753	30213	98577754	30267	9821
755	30310	9782
756	30341	9739
757	30375	9697
758	30421	9659
759	30460	96197760	30508	9581
761	30538	95387762	30573	94967763	30620	9458
764	30649	9415
765	30693	93767766	30724	93337767	30768	92947768	30802	92527769	30843	92137770	30892	91757771	30929	91347772	30972	90957773	31005	97747774	31045	97757775	31086	87767776	31124	89327777	31166	88937778	31203	8852
779	31261	8817
780	31299	8776
781	31344	8737
782	31389	8699
783	31428	8659
784	31473	8620
785	31518	8581
786	31554	8540
787	31594	8500
788	31629	8458
789	31664	8417
790	31698	8375
791	31729	8333
792	31767	8292
793	31801	8250
794	31836	8209
795	31879	8170
796	31915	8129
797	31947	8086
798	31981	8045
799	32022	8005
800	32058	7964
801	32094	7923
802	32133	7883
803	32179	7844
804	32206	7801
805	32273	7768
806	32304	7725
807	32339	7684
808	32371	7642
809	32412	7602
810	32446	7561
811	32490	7522
812	32534	7483
813	32565	7441
814	32607	7401
815	32658	7364
816	32699	7324
817	32739	7284
818	32785	7245
819	32828	7206
820	32870	7166
821	32919	7128
822	32966	7089
823	33005	7049
824	33032	7006
825	33075	6967
826	33112	6926
827	33152	6886
828	33187	6845
829	33229	6806
830	33265	6765
831	33306	6725
832	33341	6684
833	33379	6643
834	33417	6603
835	33461	6564
836	33505	6524
837	33537	6483
838	33570	6442
839	33621	6404
840	33660	6363
841	33704	6324
842	33738	6283
843	33771	6242
844	33805	6200
845	33836	6159
846	33873	6118
847	33902	6076
848	33942	6036
849	33979	5996
850	34013	5955
851	34056	5915
852	34096	5875
853	34131	5835
854	34197	5799
855	34242	5760
856	34280	5720
857	34315	5679
858	34363	5640
859	34405	5600
860	34444	5560
861	34478	5519
862	34513	5479
863	34557	5439
864	34604	5400
865	34631	5358
866	34686	5321
867	34720	5280
868	34754	5239
869	34796	5199
870	34838	5159
871	34884	5120
872	34917	5079
873	34961	5040
874	34994	4999
875	35031	4958
876	35072	4918
877	35109	4878
878	35156	4839
879	35200	4800
880	35237	4759
881	35279	4719
882	35322	4680
883	35366	4640
884	35399	4599
885	35439	4559
886	35482	4520
887	35523	4480
888	35565	4440
889	35606	4400
890	35650	4361
891	35695	4321
892	35740	4282
893	35783	4242
894	35825	4203
895	35859	4162
896	35893	4121
897	35920	4080
898	35963	4040
899	36004	4000
900	36039	3959
901	36083	3920
902	36122	3880
903	36160	3840
904	36194	3799
905	36238	3759
906	36277	3719
907	36314	3679
908	36350	3639
909	36390	3599
910	36432	3559
911	36476	3519
912	36515	3479
913	36561	3440
914	36602	3400
915	36676	3363
916	36774	3328
917	36810	3288
918	36856	3248
919	36932	3211
920	36974	3171
921	37014	3131
922	37057	3091
923	37097	3051
924	37137	3011
925	37179	2971
926	37225	2931
927	37266	2891
928	37303	2850
929	37340	2810
930	37383	2770
931	37433	2731
932	37471	2690
933	37512	2650
934	37551	2610
935	37599	2570
936	37644	2531
937	37690	2491
938	37741	2451
939	37781	2411
940	37822	2371
941	37865	2331
942	37903	2291
943	37944	2250
944	37986	2210
945	38029	2170
946	38070	2130
947	38105	2090
948	38150	2050
949	38193	2010
950	38236	1970
951	38293	1930
952	38339	1890
953	38380	1850
954	38420	1810
955	38460	1770
956	38510	1730
957	38547	1689
958	38590	1649
959	38630	1609
960	38678	1569
961	38730	1529
962	38776	1489
963	38818	1449
964	38858	1409
965	38888	1368
966	38936	1328
967	38971	1288
968	38999	1247
969	39033	1207
970	39086	1167
971	39137	1127
972	39178	1087
973	39219	1046
974	39246	1006
975	39281	965
976	39329	925
977	39366	885
978	39394	845
979	39421	804
980	39464	764
981	39506	724
982	39541	683
983	39571	643
984	39595	602
985	39611	562
986	39642	522
987	39656	481
988	39677	441
989	39697	400
990	39703	360
991	39735	320
992	39748	280
993	39755	239
994	39763	199
995	39772	159
996	39781	119
997	39788	79
998	39790	39
999	39792	0
